Spruce Mini Joystick,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0,,Last Updated: 2023-Sept-25,,,,,, $33.18 , $33.18 ,3.13,28,,
Commercial Parts,,,,,,,,,,,,,
,Part Name,Source,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,Joystick unit - Adafruit,DigiKey,1,1,9.13,1, $9.13 , $9.13 , $9.13 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/512/7056915 ,,,
,TRRS 3.5 mm Audio Cable,DigiKey,1,1, $7.29 ,1, $7.29 , $7.29 , $7.29 ,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00341/2350244,,,
,Mono 3.5 mm Audio cable,DigiKey,1,1, $4.62 ,1, $4.62 , $4.62 , $4.62 ,https://www.digikey.ca/en/products/detail/tensility-international-corp/10-00344/2350247 ,,,
,"4"" cable tie",DigiKey,2,1, $0.25 ,2, $0.25 , $0.50 , $0.50 ,https://www.digikey.ca/en/products/detail/te-connectivity/2-604771-9/2259327 ,,,
,"#4 Metal Screw, 3/8″ Length (if building more than two, link below)",DigiKey,4,1, $0.60 ,4, $0.60 , $2.40 , $2.40 ,https://www.digikey.ca/en/products/detail/serpac/6005/307599 ,,,
,M3 hex nut,DigiKey,2,1, $0.27 ,2, $0.27 , $0.54 , $0.54 ,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301 ,,,
,Digikey shipping (if spending less than $100),DigiKey,1,1, $8.00 ,1, $8.00 , $8.00 , $8.00 ,,,,
,,,,,,,,,,,,,
3D Printed Parts                           ESTIMATED PRICING USING 1KG ROLL COST:,, $25.00 ,,,,,,,,,,,
,Part,Material,QTY,Mass (g) / Unit,Time / Unit,,Print Time (Min),Estimated Price,,Link,,,
,Spruce Enclosure Bottom,PLA,1,16,106,,106, $0.40 ,,,,,
,Spruce Enclosure Top,PLA,1,12.0,82,,82, $0.30 ,,,,,
,,,,,,,,,,,,,
Alternatives,,,,,,,,,,,,,
ID,Part and description,Source,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,"#4 Metal Screw, 3/8″ Length, 100 pack",Amazon,8,100, $9.30 ,1, $0.09 , $0.74 , $9.30 ,https://a.co/d/523bJeL ,,,
,Cable tie,DigiKey,1,1, $0.15 ,1, $0.15 , $0.15 , $0.15 ,https://www.digikey.ca/en/products/detail/heyco-products-corporation/13123B/15791902 ,,,
,Cable tie,Your local dollarstore,,,,,,,,,,,
,Joystick (PS2),Amazon,1,10, $20.89 ,1, $2.09 , $2.09 , $20.89 ,https://www.amazon.ca/dp/B089VXPHDH?_encoding=UTF8&psc=1&ref_=cm_sw_r_cp_ud_dp_GGTEDME4PM2P27SG86P7 ,,,
,Joystick unit - Adafruit,Mouser,1,1,8.63,1, $8.63 , $8.63 ,,https://www.mouser.ca/ProductDetail/Adafruit/512?qs=GURawfaeGuBuwf9HaRK7%252BA%3D%3D ,,,
,(Optional for mount) M3x12mm screw x2,Mechanical,0,1, $1.11 ,0, $1.11 , $-   , $-   ,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X12MM-2701/2063201 ,,,
,(Optional for mount) Tee nut (source from local hardware store),Mechanical,0,1, $0.48 ,0, $0.48 , $-   , $-   ,https://www.homedepot.ca/product/paulin-1-4-inch-20-tee-nuts-4-prong-5-16-inch-barrel-length/1000129429 ,,,
,,,,,,,,,,,,,
